English,Spanish,Type
Alarm Clock,El despertador,Noun
Apartment,El apartamento,Noun
Armchair,El sillón,Noun
Art,El arte,Noun
Balcony,El balcón,Noun
Basement,El sótano,Noun
Bathroom,El baño,Noun
Bathtub,La bañera,Noun
Bed,La cama,Noun
Bedroom,La habitación,Noun
Big,Grande,Adjective
Bricks,Los ladrillos,Noun
Calendar,El calendario,Noun
"Carpet, Rug",La alfombra,Noun
Ceiling,El techo,Noun
Chair,La silla,Noun
Chandelier,La araña de luces,Noun
Clock,El reloj,Noun
Closet,El armario,Noun
Clothes,La ropa,Noun
Computer,La computadora,Noun
Condominium,El condominio,Noun
Curtains,Las cortinas,Noun
Dark,Oscuro,Adjective
Desk,El escritorio,Noun
Dining room,El comedor,Noun
Dishes,Los platos,Noun
Dishwasher,El lavaplatos,Noun
Dresser,La cómoda,Noun
Entry way,"La entrada, El recibidor",Noun
Floor,El piso,Noun
Freezer,El congelador,Noun
Furniture,Los muebles,Noun
Garage,El garaje,Noun
Garbage can,El basurero,Noun
Home,El hogar,Noun
Kitchen,La cocina,Noun
Lamp,La lámpara,Noun
Light,La luz,Noun
Living Room,La sala,Noun
Luminous,Luminoso,Adjective
Luxurious,Lujoso,Adjective
Magazines,Las revistas,Noun
Main Door,La puerta principal,Noun
Microwave,El microondas,Noun
Mirror,El espejo,Noun
Modest,Modesto,Adjective
Neighborhood,El vecindario,Noun
Neighbors,Los vecinos,Noun
New,Nuevo,Adjective
Noisy,Ruidoso,Adjective
Office,La oficina,Noun
Old,Viejo,Adjective
Oven,El horno,Noun
Paintings,Las pinturas,Noun
Paper clip,Los sujetapapeles,Noun
Phone,El teléfono,Noun
Photographs,Las fotografías,Noun
Pillow,La almohada,Noun
Pots,Las ollas,Noun
Quiet,Tranquilo,Adjective
Refrigerator,La refrigeradora,Noun
Sheets,Las sábanas,Noun
Shelf,El estante,Noun
Shower,La ducha,Noun
Sink,El lavabo,Noun
Small,Pequeño,Adjective
Soap,El jabón,Noun
Sofa,El sofá,Noun
Spacious,Espacioso,Adjective
Stapler,La grapadora,Noun
Stone,La losa,Noun
Stove,"La estufa, La cocina",Noun
Table,La mesa,Noun
Tablecloth,El mantel,Noun
Television,"El televisor, La televisión",Noun
To iron,Planchar,Verb
To make the bed,Hacer la cama,Verb
To mow the lawn,Cortar el césped,Verb
To set the table,Poner la mesa,Verb
To take care of the dog,Cuidar al perro,Verb
To vaccum,Pasar la aspiradora,Verb
Toilet,El inodoro,Noun
Towels,Las toallas,Noun
Wall,La pared,Noun
Window,La ventana,Noun
Wood,La madera,Noun
Yard,El jardín,Noun
