English,Spanish,Type,Category
"About, Over",Sobre,Preposition,Prepositions
According to,Según,Preposition,Prepositions
Additionally,Adicionalmente,Other,Transitions
After,"Tras, Después de",Preposition,Prepositions
Afterwards,Más tarde,Other,Transitions
Against,Contra,Preposition,Prepositions
AIDS,El SIDA,Noun,Health
Alarm Clock,El despertador,Noun,House
Allergy,La alergia,Noun,Health
Almost always,Casi siempre,Adverb,Adverbs
Almost never,Casi nunca,Adverb,Adverbs
"Although, Even if",Aunque,Other,Transitions
Always,Siempre,Adverb,Adverbs
Ambulance,La ambulancia,Noun,Health
Amusement park,El parque de diversiones,Noun,Childhood
Apartment,El apartamento,Noun,House
Apendicitis,El apendicitis,Noun,Health
Appointment,La consulta,Noun,Health
April,Abril,Noun,Months
Architect,El arquitecto,Noun,Professions
Armchair,El sillón,Noun,House
Art,El arte,Noun,House
Artist,El artista,Noun,Professions
Artistic,Artístico,Adjective,Adjectives
As,"Como, Ya que",Other,Transitions
As long as,Siempre que,Other,Transitions
As soon as,Apenas,Other,Transitions
At first,Al principio,Other,Transitions
At last,Al final,Other,Transitions
"At, By means of, To",A,Preposition,Prepositions
Athletic,Atlético,Adjective,Adjectives
August,Agosto,Noun,Months
Aunt,La tía,Noun,Family
Backpack,La mochila,Noun,Nature
Bad,Malo,Adjective,Adjectives
Bad Weather,El mal tiempo,Noun,Weather
Bag,La bolsa,Noun,Clothes
Bakery,La panadería,Noun,Vacation
Balcony,El balcón,Noun,House
Barbeque,La Barbacoa,Noun,Nature
Basement,El sótano,Noun,House
Bat,El murciélago,Noun,Nature
Bathing Suit,El traje de baño,Noun,Clothes
Bathrobe,La bata,Noun,Clothes
Bathroom,El baño,Noun,House
Bathtub,La bañera,Noun,House
Beach,La playa,Noun,Nature
Beanie,La gorra,Noun,Clothes
Bear,El oso,Noun,Nature
Beautiful,Bello,Adjective,Nature
"Beautiful, Nice",Bello,Adjective,Vacation
Because of,A causa de,Other,Transitions
Bed,La cama,Noun,House
Bedroom,La habitación,Noun,House
Before,Antes de,Preposition,Prepositions
Behind,"Tras, Detrás de",Preposition,Prepositions
Belt,El cinturón,Noun,Clothes
Better,Mejor,Adjective,Nature
Between,Entre,Preposition,Prepositions
Big,Grande,Adjective,Adjectives
Big,Grande,Adjective,House
Bill,La cuenta,Noun,Food
Biodiversity,La biodiversidad,Noun,Nature
Bird,"El ave, El pájaro",Noun,Nature
Bitter,Amargo,Adjective,Food
Black,Negro,Adjective,Colors
Blonde hair,Pelo rubio,Adjective,Adjectives
Blood,La sangre,Noun,Health
Blouse,La blusa,Noun,Clothes
Blue,Azúl,Adjective,Colors
Bonfire,La fogata,Noun,Nature
Boots,Las botas,Noun,Clothes
Bowl,El plato hondo,Noun,Food
Boyfriend,El novio,Noun,Family
Bracelet,La pulsera,Noun,Clothes
Branch,La rama,Noun,Nature
Bratty,Malcriado,Adjective,Childhood
Bricks,Los ladrillos,Noun,House
Broker,El agente de bolsa,Noun,Professions
Brown,Marrón,Adjective,Colors
Brown hair,Pelo castaño,Adjective,Adjectives
Bus stop,La parada de autobus,Noun,Vacation
Businessman,El hombre de negocios,Noun,Professions
But,Pero,Other,Transitions
Butcher,La carnicería,Noun,Vacation
Buttons,Los botones,Noun,Clothes
By,Por,Preposition,Prepositions
Cafeteria,La cafetería,Noun,Vacation
Calendar,El calendario,Noun,House
Calm,Tranquilo,Adjective,Childhood
Calm,Tranquilo,Adjective,Nature
Camp,El campamento,Noun,Nature
Camper,El campisto,Noun,Nature
Camper van,La autocaravana,Noun,Nature
