English,Spanish,Type
Artistic,Artístico,Adjective
Athletic,Atlético,Adjective
Bad,Malo,Adjective
Big,Grande,Adjective
Blonde hair,Pelo rubio,Adjective
Brown hair,Pelo castaño,Adjective
Disorganized,Desorganizado,Adjective
Fantastic,Fantástico,Adjective
"Friendly, Kind",Amable,Adjective
Funny,Cómico,Adjective
Good,Bueno,Adjective
Good natured,Afable,Adjective
Handsome,Guapo,Adjective
Happy,Alegre,Adjective
Hard working,Trabajador,Adjective
Intelligent,Inteligente,Adjective
Interesting,Interesante,Adjective
Lazy,Perezoso,Adjective
Loving,Cariñoso,Adjective
Nice,Simpático,Adjective
Old,Viejo,Adjective
Organized,Organizado,Adjective
Pleasant,Agradable,Adjective
Pretty,Bonito,Adjective
Red haired,Pelirrojo,Adjective
Serious,Serio,Adjective
Short,Bajo,Adjective
Small,Pequeño,Adjective
Special,Especial,Adjective
Studious,Estudioso,Adjective
Sweet,Dulce,Adjective
Tall,Alto,Adjective
Witty,Ingenioso,Adjective
Young,Joven,Adjective
