English,Spanish,Type
Amusement park,El parque de diversiones,Noun
Precious,Precioso,Adjective
Bratty,Malcriado,Adjective
Calm,Tranquilo,Adjective
Circus,El circo,Noun
Comic strips,Las tiras cómicas,Noun
Doll,La muñeca,Noun
Electric train,El tren eléctrico,Noun
Imaginary,Imaginario,Adjective
Jealous,Celoso,Adjective
Mischief,La travesura,Noun
Naughty,Travieso,Adjective
Obediant,Obediente,Adjective
Precocious,Precoz,Adjective
Primary school,La primaria,Noun
Sand box,La cancha de arena,Noun
Secondary school,La secundaria,Noun
Spoiled,Mimado,Adjective
Stuffed animal,El muñeco de peluche,Noun
Tender,Tierno,Adjective
To break,Romper,Verb
To climb trees,Treparse los árboles,Verb
To color,Colorear,Verb
To construct,Construir,Verb
To disobey,Desobedecer,Verb
To dress up,Disfrazarse,Verb
To fight,Pelearse,Verb
To hide,Esconder,Verb
To jump,Saltar,Verb
To obey,Obedecer,Verb
To play hide and seek,Jugar al escondite,Verb
To play hopscotch,Jugar a la rayuela,Verb
To play with dolls,Jugar con muñecas,Verb
To ride a tricycle,Andar en triciclo,Verb
Video games,Los videojuegos,Noun
Zoo,El zoológico,Noun
