English,Spanish,Type
Bag,La bolsa,Noun
Bathing Suit,El traje de baño,Noun
Bathrobe,La bata,Noun
Beanie,La gorra,Noun
Belt,El cinturón,Noun
Blouse,La blusa,Noun
Boots,Las botas,Noun
Bracelet,La pulsera,Noun
Buttons,Los botones,Noun
Cotton,El algodón,Noun
Cover Up,La playera,Noun
Dress,El vestido,Noun
Earring,El arete,Noun
Flip Flops,Las chanclas,Noun
Glasses,Los anteojos,Noun
Gloves,Los guantes,Noun
Hat,El sombrero,Noun
High Heels,Los tacones,Noun
Jacket,La chaqueta,Noun
Knit Scarf,La bufanda,Noun
Leather,El cuero,Noun
Long Sleeve,La manga larga,Noun
Loose,Flojo,Adjective
Necklace,El collar,Noun
Overcoat,El abrigo,Noun
Pajamas,La pijama,Noun
Pants,Los pantalones,Noun
Plaid,De cuadra,Adjective
Polka Dot,De manchas,Adjective
Repeating Design,De diseño,Adjective
Ring,El anillo,Noun
Shirt,La camisa,Noun
Shoes,Los zapatos,Noun
Short Sleeve,La manga corta,Noun
Shorts,"Los chorts,Los pantalones cortos",Noun
Silk,La seda,Noun
Skirt,La falda,Noun
Sleeve,La manga,Noun
Sleeveless,Sin mangas,Adjective
Socks,Los calcetines,Noun
Spandex,La licra,Noun
Striped,De rayas,Adjective
Suit,El traje,Noun
Sunglasses,Las gafas,Noun
Sweater,El suéter,Noun
Sweatshirt,La sudadera,Noun
T-Shirt,La camiseta,Noun
Tennis Shoes,Los tenís,Noun
Tie,La corbata,Noun
Tight,Apretado,Adjective
Tights,Las medias,Noun
Underwear,La ropa interior,Noun
Velvet,El terciopelo,Noun
Vest,El chaleco,Noun
Wallet,La cartera,Noun
Watch,El reloj,Noun
Wool,La lana,Noun
Zipper,El cierre,Noun
