English,Spanish
Additionally,Adicionalmente
Afterwards,Más tarde
Although,Aunque
As long as,Siempre que
As soon as,Apenas
As,Como
As,Ya que
At first,Al principio
At last,Al final
Because of,A causa de
But,Pero
Despite,A pesar de
During,Durante
Even if,Aunque
Finally,Finalmente
Finally,Por último
First and foremost,Ante todo
First,Primero
For example,Por ejemplo
Furthermore,Además
However,Sin embargo
If,Si
In a word,En pocas palabras
In case,En caso de que
In other words,En otras palabras
In that case,En ese caso
In this way,De esta manera
Meanwhile,Mientras tanto
Now that,Ahora que
Now,Ahora
On the other hand,Por otro lado
Second,Segundo
Since,Como
Since,Desde
Since,Ya que
So,Entonces
Thanks to,Gracias a
That's why,Por eso
Then,Entonces
Then,Luego
Therefore,Por lo tanto
Thus,Así
To begin,Para empezar
To conclude,Para concluir
Unless,A menos que
While,Mientras
