English,Spanish,Type
Aunt,La tía,Noun
Boyfriend,El novio,Noun
Child,El hijo,Noun
Cousin,El primo,Noun
Dad,El papi,Noun
Daughter in law,La nuera,Noun
Father,El padre,Noun
Girlfriend,La novia,Noun
God father,El padrino,Noun
God mother,La madrina,Noun
Grandchild,El nieto,Noun
Grandparent,El abuelo,Noun
Great grandchild,El bisnieto,Noun
Great grandparent,El bisabuelo,Noun
Husband,El marido,Noun
In laws,Los suegros,Noun
Mom,La mami,Noun
Mother,La madre,Noun
Nephew,El sobrino,Noun
Newlyweds,Los novios,Noun
Niece,La sobrina,Noun
Older,Mayor,Adjective
Only child,El único hijo,Noun
Parent in Law,El suegro,Noun
Partner,La pareja,Noun
Sibling in law,El cuñado,Noun
Sibling,El hermano,Noun
Son in law,El yerno,Noun
Step father,El padrastro,Noun
Step mother,La madrastra,Noun
Step sibling,El hermanastro,Noun
Twin,El gemelo,Noun
Uncle,El tío,Noun
Wife,La mujer,Noun
Younger,Menor,Adjective
