English,Spanish,Type
Backpack,La mochila,Noun
Barbeque,La Barbacoa,Noun
Bat,El murciélago,Noun
Beach,La playa,Noun
Bear,El oso,Noun
Beautiful,Bello,Adjective
Better,Mejor,Adjective
Biodiversity,La biodiversidad,Noun
Bird,"El ave,El pájaro",Noun
Bonfire,La fogata,Noun
Branch,La rama,Noun
Calm,Tranquilo,Adjective
Camp,El campamento,Noun
Camper van,La autocaravana,Noun
Camper,El campisto,Noun
Cat,El gato,Noun
Compass,La brújula,Noun
Cow,La vaca,Noun
Dangerous,Peligroso,Adjective
Dense,Denso,Adjective
Desert,El desierto,Noun
Dog,El perro,Noun
Donkey,El burro,Noun
Duck,El pato,Noun
Elephant,El elefante,Noun
Environment,El medioambiente,Noun
Equipment,El equipo,Noun
Fauna,La fauna,Noun
Fierce,Feroz,Adjective
Fish,El pez,Noun
Fishing pole,La caña de pescar,Noun
Flora,La flora,Noun
Fly,La mosca,Noun
Forest,El bosque,Noun
Fox,El zorro,Noun
Frog,La rana,Noun
Fur,El pelaje,Noun
Geography,La geografía,Noun
Goat,La cabra,Noun
Goose,El ganso,Noun
Hairy,Peludo,Adjective
Hen,La gallina,Noun
Horse,El caballo,Noun
Island,La isla,Noun
Jungle,La selva,Noun
Lake,El lago,Noun
Landscape,El paisaje,Noun
Map,El mapa,Noun
Monkey,El mono,Noun
Mountains,Las montañas,Noun
Mouse,El ratón,Noun
Ocean,El océano,Noun
Path,El sendero,Noun
Pig,El cerdo,Noun
Profound,Profundo,Adjective
Rabbit,El conejo,Noun
Rat,La rata,Noun
River,El río,Noun
Sand,La arena,Noun
Sea,El mar,Noun
Seal,La foca,Noun
Sheep,La oveja,Noun
Shore,La orilla,Noun
Skunk,La mofeta,Noun
Sleeping bag,El saco de dormir,Noun
Sloth,El perezoso,Noun
Snake,"La serpiente,La culebra",Noun
Spider,La araña,Noun
Squirrel,La ardilla,Noun
Stars,Las estrellas,Noun
Tent,La carpa,Noun
To adore,Adorar,Verb
To attack,Atacar,Verb
To bite,Morder,Verb
To bother,Molestar,Verb
To bring,Traer,Verb
To brush,Cepillar,Verb
To camp,Acampar,Verb
To change,Cambiar,Verb
To climb,"Escalar,Trepar",Verb
To close,Cerrar,Verb
To count,Contar,Verb
To fix,Arreglar,Verb
To get mad,Enojar,Verb
To help,Ayudar,Verb
To hit,Pegar,Verb
To hug,Abrazar,Verb
To ignore,Ignorar,Verb
To lead,Dirigir,Verb
To light the fire,Prender fuego,Verb
To navigate,Navegar,Verb
To not litter,No tirar basura,Verb
To observe,Observar,Verb
To put out a fire,Apagar fuego,Verb
To recycle,Reciciar,Verb
To respect,Respetar,Verb
To stay,Quedar,Verb
Toad,El soap,Noun
Trees,Los árboles,Noun
Turkey,El pavo,Noun
View,La vista,Noun
Wave,La ola,Noun
Wild,Salvaje,Adjective
Wolf,El lobo,Noun
Worst,Peor,Adjective
