English,Spanish,Type
Architect,El arquitecto,Noun
Artist,El artista,Noun
Broker,El agente de bolsa,Noun
Businessman,El hombre de negocios,Noun
Career,La carrera,Noun
Carpinter,El carpintero,Noun
Company,La compañía,Noun
Dentist,El dentista,Noun
Designer,El diseñador,Noun
Detective,El detective,Noun
Doctor,El doctor,Noun
Engineer,El ingeniero,Noun
Enterprise,La empresa,Noun
Executive,El ejecutivo,Noun
Fireman,El bombero,Noun
Full time,Todo tiempo,Noun
Half time,Medio tiempo,Noun
Job,"El empleo, El trabajo, El oficio",Noun
Lawyer,El abogado,Noun
Meeting,La reunión,Noun
Nurse,El enfermero,Noun
Pilot,El piloto,Noun
Policeman,El policía,Noun
Politician,El político,Noun
Postman,El cartero,Noun
Programmer,El programador,Noun
Promotion,El ascenso,Noun
Raise,El aumento de sueldo,Noun
Scientist,El científico,Noun
Teacher,El profesor,Noun
To employ,Emplear,Verb
To get fired,Despedir,Verb
To invert,Invertir,Verb
To leave,Dejar,Verb
To resign,Renunciar,Verb
To retire,Jubilarse,Verb
To succeed,Tener éxito,Verb
Veterinarian,El veterinario,Noun
Video conference,La videoconferencia,Noun
Wage,El sueldo,Noun
